RX Date/Time,Multiple Plot/Road Speed,Multiple Plot/Accelerator Pedal,Multiple Plot/Engine Load,Multiple Plot/Oil Pressure,Multiple Plot/Boost Pressure,Multiple Plot/Oil Temperature,Multiple Plot/Fuel Rate,Multiple Plot/Fuel Economy,Multiple Plot/Engine Speed,Multiple Plot/Trip Distance
2025/04/03 09:59:03::704,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::788,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::803,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::885,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::909,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::911,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::990,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:03::991,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::098,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::127,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::146,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::171,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::203,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::248,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::293,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::296,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::323,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::338,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::343,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::380,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::404,0,0,0,0,0,36.94444444444444,0,0,0,-1
2025/04/03 09:59:04::443,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::488,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::503,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::543,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::584,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::602,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::682,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::699,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::722,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::776,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::791,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::900,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::903,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::982,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:04::999,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::094,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::097,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::116,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::137,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::143,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::176,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::196,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::298,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::303,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::341,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::351,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::383,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::400,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::479,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::506,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::510,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::526,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::544,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::586,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::590,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::686,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::708,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::812,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::891,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::929,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::930,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::978,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:05::999,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::086,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::102,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::137,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::163,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::184,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::214,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::301,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::323,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::351,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::385,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::416,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::488,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::506,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::534,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::586,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::609,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::695,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::697,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::712,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::794,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::903,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:06::983,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::002,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::088,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::110,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::128,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::152,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::191,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::289,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::317,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::336,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::349,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::396,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::397,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::479,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::499,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::534,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::573,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::613,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::685,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::702,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::782,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::803,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::881,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::898,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::935,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:07::997,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::094,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::110,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::135,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::149,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::184,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::211,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::290,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::293,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::308,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::327,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::341,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::396,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::501,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::548,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::587,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::605,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::678,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::700,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::709,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::789,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::885,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:08::909,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:09::000,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:09::080,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:09::096,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
2025/04/03 09:59:09::116,0,0,0,0,0,36.94444444444444,0,0,0,4013.12
